language,total_speakers,native_speakers,origin
English,1132366680,379007140.0,Indo-European
Mandarin Chinese,1116596640,917868640.0,Sino-Tibetan
Hindi,615475540,341208640.0,Indo-European
Spanish,534335730,460093030.0,Indo-European
French,279821930,77177210.0,Indo-European
Standard Arabic,273989700,0.0,Afro-Asiatic
Bengali,265042480,228289600.0,Indo-European
Russian,258227760,153746530.0,Indo-European
Portuguese,234168620,220762620.0,Indo-European
Indonesian,198733600,43364600.0,Austronesian
Urdu,170208780,68622980.0,Indo-European
Standard German,132176520,76090520.0,Indo-European
Japanese,128350830,128229330.0,Japanic
Swahili,98327740,16027740.0,Niger-Congo
Marathi,95312800,83112800.0,Indo-European
Telugu,93040340,82040340.0,Dravidian
Western Punjabi,92725700,92725700.0,Indo-European
Wu Chinese,81501290,81437890.0,Sino-Tibetan
Tamil,80989130,75039130.0,Dravidian
Turkish,79779360,79399060.0,Turkic
Korean,77264890,77264890.0,Koreanic
Vietnamese,76950770,75950770.0,Austronesian
Yue Chinese,73538610,73136610.0,Sino-Tibetan
Javanese,68277600,68277600.0,Austronesian
Italian,67894920,64844820.0,Indo-European
Egyptian Spoken Arabic,64618100,64618100.0,Afro-Asiatic
Hausa,63428100,43928100.0,Afro-Asiatic
Thai,60657660,20657660.0,Kra-Dai
Gujarati,60588970,56408970.0,Indo-European
Kannada,56463310,43563310.0,Dravidian
Iranian Persian,52782160,52782160.0,Indo-European
Bhojpuri,52405300,52245300.0,Indo-European
Southern Min Chinese,50462190,50075190.0,Sino-Tibetan
Hakka Chinese,48467490,48467490.0,Sino-Tibetan
Jinyu Chinese,46900000,46900000.0,Sino-Tibetan
Filipino,45000000,0.0,Austronesian
Burmese,42912350,32912350.0,Sino-Tibetan
Polish,40378030,39713030.0,Indo-European
Yoruba,39844260,37844260.0,Niger-Congo
Odia,38051547,34461520.0,Indo-European
Malayalam ,37829870,37134870.0,Dravidian
Xiang Chinese,37300000,37300000.0,Sino-Tibetan
Maithili,34085000,33890000.0,Indo-European
Ukrainian,33082790,27282790.0,Indo-European
Moroccan Spoken Arabic,32608700,27488700.0,Afro-Asiatic
Eastern Punjabi,32601140,32600670.0,Indo-European
Sunda,32400000,32400000.0,Austronesian
Algerian Spoken Arabic,32387600,29387600.0,Afro-Asiatic
Sundanese Spoken Arabic,31940300,31940300.0,Afro-Asiatic
Nigerian Pidgin,30000000,0.0,Indo-European
Zulu,27779100,12079100.0,Niger-Congo
Igbo,27014190,27014190.0,Niger-Congo
Amharic,25880630,21880630.0,Afro-Asiatic
Northern Uzbek,25164820,25164820.0,Turkic
Sindhi,24615591,24615550.0,Indo-European
North Levantine Spoken Arabic,24587400,24587400.0,Afro-Asiatic
Nepali,24528840,15848840.0,Indo-European
Romanian,24345750,24345750.0,Indo-European
Tagalog,23808890,23646890.0,Austronesian
Dutch,23069480,23069480.0,Indo-European
Sa'idi Spoken Arabic,22400000,22400000.0,Afro-Asiatic
Gan Chinese,22100000,22100000.0,Sino-Tibetan
Northern Pashto,20850900,20850900.0,Indo-European
Magahi,20746400,20735600.0,Indo-European
Saraiki,20009000,20009000.0,Indo-European
Xhosa,19183300,8183300.0,Niger-Congo
Malay,19092180,16092180.0,Austronesian
Khmer,17591230,16591230.0,Austronesian
Afrikaans,17534580,7234580.0,Indo-European
Sinhala,17287880,15287880.0,Indo-European
Somali,16321530,16225930.0,Afro-Asiatic
Chhattisgarhi,16300000,16300000.0,Indo-European
Cebuano,15942480,15942480.0,Austronesian
Mesopotamian Spoken Arabic,15655900,15655900.0,Afro-Asiatic
Assamese,15329040,15328790.0,Indo-European
Northeastern Thai,15000000,15000000.0,Kra-Dai
Northern Kurdish,14605670,14605670.0,Indo-European
Hijazi Spoken Arabic,14524500,14524500.0,Afro-Asiatic
Nigerian Fulfulde,14485000,14485000.0,Niger-Congo
Bavarian,14359000,14359000.0,Indo-European
Bamanankan,14102320,4102320.0,Niger-Congo
South Azerbaijani,13813750,13813750.0,Turkic
Northern Sotho,13731000,4631000.0,Niger-Congo
Setswana,13664710,5814710.0,Niger-Congo
Souther Sotho,13524520,5624520.0,Niger-Congo
Czech,13386850,10704850.0,Indo-European
Greek,13170460,13111960.0,Indo-European
Chittagonian,13000000,13000000.0,Indo-European
Kazakh,12934060,12934060.0,Turkic
Swedish,12804900,9654900.0,Indo-European
Deccan,12800000,12800000.0,Indo-European
Hungarian,12574280,12574280.0,Uralic
Jula,12486000,2208000.0,Niger-Congo
Sadri,12131225,5131180.0,Indo-European
Kinyarwanda,12120250,12120250.0,Niger-Congo
Cameroonian Pidgin,12000000,0.0,Indo-European
Sylheti,11800000,10300000.0,Indo-European
South Levantine Spoken Arabic,11601100,11601100.0,Afro-Asiatic
Tunisian Spoken Arabic,11571600,11571600.0,Afro-Asiatic
Sanaani Spoken Arabic,11350000,11350000.0,Afro-Asiatic
